course_name,description,duration_weeks
Blockchain Development Advanced,"Курсът ""Blockchain Development Advanced"" дава нужните знания и умения за започване на кариера като Smart Contracts Developer. По време на обучението курсистите ще се научат как да използват Foundry за разработка и напреднало тестване на Smart Contracts, което ще им помогне да създават по-надеждни и устойчиви приложения. Курсът обхваща ключови теми като сигурност на Smart Contracts, оптимизация на Gaz, дизайн патърни и архитектурни принципи за dApps. Ще се разгледа разработката на Upgradeable Smart Contracts, децентрализирано съхранение с IPFS, използването на The Graph за данни и интеграцията на външни данни чрез Oracles. Също така ще се проучат DeFi приложения и Cross-Chain Bridges.",7
Blockchain Development Fundamentals,"Блокчейн технологиите навлизат все по-дълбоко в бизнеса и индустрията, създавайки огромно търсене на специалисти в тази област. Това обучение ще предостави на курсистите солидна основа за изграждане на успешна кариера като Blockchain Developer. В рамките на курса обучаващите се ще научат основите на блокчейн технологията и нейните ключови компоненти. Ще разгледат какво представлява Ethereum и как работят умните договори (Smart Contracts). Курсът ще запознае участващите с водещите среди за разработка, инструменти и най-добрите практики при създаването на Smart Contracts. Ще се научат да програмирате на Solidity - най-популярният език за разработка на умни договори. Курсистите ще придобият умения за тестване и дебъгване на техните умни договори според най-добрите практики в индустрията. Освен това участниците ще се научат как да взаимодействат с блокчейн мрежи, използвайки JavaScript, да четат данни от блокчейн, да интегрират Web3.0 портфейли и да създавате transactions.",7
C# DB,"За кого е подходящ модулът? Модулът е подходящ за всички, които умеят да работят с линейни структури от данни, както и с класове и обекти и познаването на принципите на обектно-ориентираното програмиране в езика C#. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 10 май 2026. Обучението стартира на 12 май 2026&nbsp;г. Модулът включва следните курсове:&bull; MS SQL&nbsp;- май 2026,&nbsp;стартира на 12 май 2026 г.; &bull;&nbsp;Entity Framework Core - юни 2026, стартира на 16 юни 2026 г.Как и къде ще се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Подробен график на занятията по ден и час, както и формат на провеждане (на запис или онлайн в реално време), можете да откриете в раздел ""Теми"" в страницата на всеки курс от модула. Колко струва обучението в модула и какво включва? Онлайнлв. Онлайн обучение с видео уроци, достъпни по всяко време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Community групи с курсистите Явяване на изпити (редовни), сертификати и удостоверениеВАЖНО: Имате възможност да заплатите цялата такса от 606.31 лева / &euro;310&nbsp;или да го направите на 2 равни вноски по 332.49 лева / &euro;170&nbsp;(общо 664.98 лева / &euro;340). Срокът за плащане на II-рата вноска от таксата е 12 юни 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до датата на третото занятие от първия курс (до 15 май).",12
C# Development,"За кого е подходяща програмата? Програмата е подходяща за хора, които искат системно да влязат в .NET света и да стигнат до стабилни основи в C#:&nbsp;Напълно начинаещи без опит в програмирането, които искат структурирано и практическо обучение от нулата;&nbsp;Преквалифициращи се от други сфери (QA, маркетинг, дизайн, non-IT), търсещи първа дев роля;&nbsp;Студенти от технически специалности, които имат нужда от повече практика, задачи и изпитна подготовка;&nbsp;Самоуки програмисти, които искат да ""затворят дупки"" във фундаментите и да стъпят здраво на OOP;&nbsp;Девелопъри от други езици (Java, Python, JS), които преминават към C#/.NET екосистемата;&nbsp;Начинаещи в Unity/игрово програмиране, които имат нужда първо от силни основи в C#;&nbsp;QA/Automation профили, планиращи автоматизация на тестове на C# и работа с OOP и колекции.Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 10 януари. Обучението стартира на 12 януари 2026&nbsp;г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; C#&nbsp;Introduction - януари 2026&nbsp;- стартира на 12 януари, със занятия в понеделник и сряда;&bull; C# Fundamentals - март 2026&nbsp;- стартира на 9 март, със занятия в понеделник и сряда. Молим да обърнете внимание на занятие ""Associative Arrays"", което ще се проведе на 14 април (вторник).;&bull; C# OOP - май 2026 - стартира на 4 май, със занятия в понеделник и сряда.Колко струва обучението в програмата? Онлайн480 лв. Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 3 затворени Community групи с курсисти SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 19 януари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
C# Fundamentals,"Курсът ""C# Fundamentals"" ще запознае участниците с основните типове структури от данни и използването им в решаване на алгоритмични задачи. Обучаващите се ще надградят знанията, придобити в курса Programming Basics и ще започнат да използват по-сложни похвати и структури от програмирането като: масиви, листове, сетове и речници. През цялото продължение на курса ще се показват често срещани грешки в работата с езика и тяхното избягване. Заедно с това обучаващите се ще решават задачи, за да утвърдят познанията си върху материала.",7
C# Introduction,"Курсът ""C# Introduction"" дава начални умения по програмиране, необходими за всички технологични специалности в СофтУни. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if и if-else) и цикли (for и while).",7
C# OOP,"Курсът ""C# OOP"" ще научи курсистите на принципите на обектно-ориентираното програмиране (ООП), да работят с класове и обекти, да ползват обектно-ориентирано моделиране и да изграждат йерархии от класове. Ще се изучават основните принципи на ООП като абстракция (интерфейси и абстрактни класове), енкапсулация, наследяване и полиморфизъм. Ще се разгледат различни техники за дебъгване. Ще се обърне внимание на компонетно тестване (писане на unit тестове). Не на последно място по важност, ще се научат да подреждат правилно кода в големи по обем проекти, като по този начин ще получат истински организиран код. Освен това 30% от задачите на упражненията ще се решават с помощта на AI с цел да се стимулира използването на съвременни технологии за автоматизация на процеси, като същевременно се развиват умения за ефективно прилагане на AI инструменти в реални условия.",7
C++ Advanced,"Курсът ""C++ Advanced"" навлиза в спецификите на езика C++ и разглежда по-сложни тематики като указатели (pointers), псевдоними (references), управление на паметта (memory management) и работа с динамична памет (dynamic memory). Курсистите ще се запознаят и с концепциите за други основни типове структури от данни като асоциативни контейнери (map и set), контейнерни адаптери (stack и queue) и с това как да ги манипулират. Ще придобият и умението за правилна работа с многомерни масиви и ще се запознаят с техните особености. Всичко това е придружено от набор от задачи, които ще решават и на упражненията. Ще надградят и обогатят знанията си така, че да бъдат успешно подготвени за обектно-ориентираното програмиране със C++.",5
C++ Development,"За кого е подходяща програмата? Програмата е подходяща за напълно начинаещи курсисти, желаещи да придобият познания в областта на програмирането със C++, както и за такива, които имат опит с други програмни езици, но искат да разширят знанията с език, работещ и на по-ниско ниво. Нужното ниво на английски език, необходимо за програмата, трябва да отговоря на B2. Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 31 януари. Обучението стартира на 2 февруари 2026 г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; Programming Basics with C++&nbsp;- февруари 2026 - стартира на 2 февруари, със занятия всеки понеделник и сряда;&bull; C++ Fundamentals - април 2026&nbsp;- стартира на 6 април, със занятия всеки понеделник и четвъртък.&nbsp;Молим да обърнете внимание на занятието ""Functions"", което ще се проведе на&nbsp;14 април&nbsp;(вторник) и на упражнението ""Exercise: Functions"", което ще се проведе на 17 април (петък).&bull; C++ Advanced - май 2026 - стартира на 26 май, със занятия всеки понеделник и сряда. Молим да обърнете внимание на първото занятие ""Stack and Queues"", която ще се проведе на&nbsp;26 май&nbsp;(вторник);&bull; C++ OOP - юли 2026 - стартира на 6 юли, със занятия всеки понеделник и сряда.Колко струва обучението в програмата? Онлайн700 лв. 2 х 375 лв.* Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениe Достъп до 4 затворени Community групи с курсисти ВАЖНО: Имате възможност да заплатите цялата такса от 700 лева / &euro;357.90&nbsp;или да го направите на 2 равни вноски по 375 лева / &euro;191.73&nbsp;(общо 750 лева / &euro;383.47). Срокът за плащане на II-рата вноска от таксата е 2 март 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 9 февруари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
C++ Fundamentals,"Курсът ""C++ Fundamentals"" ще запознае участниците с основните типове структури от данни и използването им в решаване на алгоритмични задачи. Ще бъдат разгледани масивите и особеностите им в C++, функциите и това как могат да бъдат полезни те, както и линейните контейнери (vector и list) и символните низове от STL. През цялото продължение на курса ще се показват често срещани грешки в работата с езика и тяхното избягване. Заедно с това обучаващите се ще решават задачи, за да утвърдят познанията си върху материала.",6
C++ OOP,"Курсът ""C++ OOP"" навлиза по-дълбоко в спецификите на езика C++ и разглежда по-сложни тематики. В курса изцяло ще се обръне внимание на особеностите на обектно-ориентираното програмиране със C++. Курсистите ще започнат от създаването на класове и обекти, като същевременно ще обърнат внимание и на концепциите за създаване на конструктори и деструктори, както и на наследяване и полиморфизъм. Не на последно място по важност, ще се научат да подреждат правилно кода в големи по обем проекти, като по този начин ще получат истински организиран код. Ще се запознаят и с основните принципи на обектно-ориентираното програмиране със C++, които са неизменна част от езика.",8
CI/CD and Monitoring,"Курсът ""CI/CD & Monitoring"" предоставя пълен поглед върху изграждането, внедряването и наблюдението на CI/CD pipelines за автоматизация на процесите на разработка и внедряване. Участниците ще се научат как да интегрират системи за контрол на версии, да автоматизират build и тестване на приложения и да внедряват инструменти за мониторинг, които гарантират стабилността и производителността на инфраструктурата и приложенията. Курсът е изцяло практически ориентиран, с множество упражнения, които ще затвърдят наученото и ще подготвят курсистите за реални проекти.",5
Compromising Platforms,"По време на курса ""Compromising Platforms"" ще бъдат представени техники и похвати за енумериране и експлоатиране на уеб платформи (апликации), които са най-често срещаният тип ""engagement"" в професионалния свят. По време на обучението ще бъдат разгледани базови концепции за сканиране на апликации и търсене на уязвимости, като ще бъдат демонстрирани сценарии с най-често срещаните. Курсът е изцяло насочен в офанзивата страна на киберсигурността. Похватите, които ще бъдат представени са актуални и използвани от етичните хакери по света. Ще бъдат разгледани атаки срещу апликации, хостнати на уеб сървъри. Ще се анализира и пише код.",5
Computer Networking,"За кого е подходящ модулът? Модулът е подходящ за любители, които имат базови познания и умения относно работата на компютърни мрежи, протоколи и устройства, но искат да ги надградят и да придобият една стабилна основа в тази сфера. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 4 април. Обучението стартира на 6 април 2026&nbsp;г. Модулът включва следните курсове:&bull; Computer Networking Fundamentals - април 2026, започва на 6 април 2026 г.; &bull; Computer Networking Advanced - юни 2026, започва на 2 юни 2026 г. Как и къде ще се провеждат занятията? Можете да се обучавате онлайн в реално време. Веднага след всяко занятие получавате и достъп до записа на занятието и учебните ресурси. Какъв документ ще получа след завършване на модула? Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Колко струва обучението в модула и какво включва? Онлайнлв. Онлайн обучение в реално време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Community групи с курсистите Явяване на изпити (редовни), сертификати и удостоверениeSoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс (до 14 април).",17
Computer Networking Advanced,"Курсът ""Computer Networking Advanced"" има за цел не само да затвърди и надгради познанията ви по компютърни мрежи с много по-задълбочен поглед върху протоколите и технологиите, но и да ви въведе в съвременните концепции за мрежова виртуализация и софтуерно дефинирани мрежи (SDN). С първите няколко теми ще задълбочим и разширим познанията си по switching, routing, резервираност на мрежовите услуги, автентикация и много други, а после постепенно ще преминем към най-новите и горещи теми за виртуализация – както на мрежови устройства, така и на мрежови услуги. Всичко това ще бъде подкрепено и с много примери и практически упражнения, благодарение на които ще направите реалната съпоставка между традиционния и съвременния подход при изграждането и управлението на компютърни мрежи.",12
Computer Networking Fundamentals,"Курсът ""Computer Networking Fundamentals"" ще въведе участниците в компютърните мрежи, ще ги запознае с техни фундаментални принципи и ще им разкрие детайли за функционирането им. Обучението ще започне с основни понятия и концепции и постепенно ще се задълбочи в различни видове протоколи. Курсистите ще разберат защо те са нужни и как работят. Едно от големите предимства на този курс е, че той не се концентрира върху един vendor (например само Cisco), а вместо това се фокусира върху индустриални стандарти и отворени протоколи. Всичко това, заедно с практическата насоченост на курса и упражненията, ще даде на участниците по-голяма увереност и една стабилна база в света на компютърните мрежи.",5
Containerization and Infrastructure,"Курсът ""Containerization and Infrastructure"" предоставя задълбочен поглед върху съвременните подходи за контейнеризация и автоматизация на инфраструктурата. Курсистите ще се запознаят с основните принципи на DevOps и контейнери, като ще придобият практически умения за работа с Docker. Ще разгледат напреднали концепции и добри практики при работа с контейнери, както и инструменти за оркестрация като Docker Swarm и Podman. Обучението включва и основите на Infrastructure as Code чрез Terraform и Ansible - два от водещите инструмента за автоматизирано управление на инфраструктура и конфигурации.",8
Containers and Cloud,"Основната цел на курса ""Containers and Cloud"" е да запознае курсистите с най-добрите практики за създаване на контейнери с Docker и последващото им деплойване на Cloud инфраструктура. Ще сe премине през необходимите Linux Shell команди, участниците ще се научат как се работи с Docker Compose за създаване на контейнери. Ще се разгледа в детайли какво представлява Cloud инфраструктурата и как може да се управлява с код. След този курс обучаващите се ще могат да работят спокойно с контейнери в Cloud среда. Също така ще бъде използван AI за решаване на рутинни задачи, които не изискват активно запаметяване, с цел да се освободят ресурси за по-задълбочено разбиране и прилагане на новите концепции.",7
Cyber Security and Ethical Hacking,"За кого е подходяща програмата? Програмата е подходяща за хора с базови познания за работа с Linux и мрежи, които имат малък или никакъв опит в сферата на мрежовата сигурност и киберсигурност и имат интерес да се развиват в тази област. Нужното ниво на английски език, необходимо за курса, трябва да отговоря на B2.Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 1 февруари. Обучението стартира на 3 февруари 2026 г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; Introduction to Cyber Security - февруари 2026&nbsp;- стартира на 3 февруари, със занятия всеки вторник;&bull; Reconnaissance Fundamentals - април 2026&nbsp;- стартира на 14 април, със занятия във вторник и четвъртък;&bull; System and Network Compromising - юни 2026&nbsp;- стартира на 2 юни, със занятия във вторник и четвъртък;&bull; Compromising Platforms - юли 2026 - стартира на 21 юли, със занятия във вторник и четвъртък.Има ли допълнителни изисквания? Необходим софтуер или хардуер за участие: Хардуер:&bull; Минимален процесор core I3;&bull; RAM памет минимум 8GB.Колко струва обучението в програмата? Онлайн800 лв. 2 х 425 лв.* Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 4 затворени Community групи с курсисти ВАЖНО: Имате възможност да заплатите цялата такса от 800 лева / &euro;409.03 или да го направите на 2 равни вноски по 425 лева / &euro;217.30&nbsp;(общо 850 лева / &euro;434.60). Срокът за плащане на II-рата вноска от таксата е 3 март 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 17 февруари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
Data Analytics and Visualizations,"Курсът ""Data Analytics and Visualizations"" ще запознае курсистите с основите на анализа на данни и техниките за визуализация. Участниците ще придобият умения за извличане, обработка и представяне на данни чрез създаване на ефективни визуализации, отчети и dashboards. Занятията са изцяло практически ориентирани, като всяка тема включва упражнения за затвърждаване на знанията. Курсът завършва с работа по цялостен проект и подготовка за изпит, осигуряващи увереност и практически опит за реални бизнес казуси.",6
Data Engineering and Analytics,"За кого е подходяща програмата? Модулът е подходящ за хора с базов опит в програмирането (препоръчително е с езика Python, който може да се придобие и с курса Python Introduction for Data Science), които желаят да развият познанията си в обработката и анализа на данни. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 3 февруари. Обучението стартира на 5 февруари 2026 г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull;&nbsp;Math Concepts for Developers - февруари 2026&nbsp;- стартира на 5 февруари, със занятия в понеделник и четвъртък;&bull;&nbsp;Data Science - март 2026&nbsp;- стартира на 19 март, със занятия във вторник и четвъртък;&bull;&nbsp;PostgreSQL - май 2026&nbsp;- стартира на&nbsp;12 май, със занятия в понеделник, вторник, четвъртък и петък;&bull;&nbsp;Data Warehouse &amp; ETL - юни 2026&nbsp;- стартира на&nbsp;15 юни, със занятия в понеделник и сряда;&bull;&nbsp;Data Analytics and Visualizations - август 2026&nbsp;- стартира на&nbsp;25 август, със занятия във вторник и четвъртък. Молим да обърнете внимание на занятие ""Exercise: PowerBI DAX and Dynamic Dashboard"", което ще се проведе на 21 септември&nbsp;(понеделник).Колко струва обучението в програмата? Онлайн1090 лв. 2 х 580 лв.* Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 5 затворени Community групи с курсисти ВАЖНО: Имате възможност да заплатите цялата такса от 1090 лева / &euro;557.31 или да го направите на 2 равни вноски по 580 лева / &euro;296.55 (общо 1160 лева / &euro;593.10). Срокът за плащане на II-рата вноска от таксата е 5 март 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 12 февруари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
